Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
14 sep. 2022,1.814,2.412,1.418,2.931,3.299,Smartmeter
13 sep. 2022,1.813,2.410,1.418,2.919,3.299,Smartmeter
12 sep. 2022,1.812,2.409,1.418,2.906,3.299,Smartmeter
11 sep. 2022,1.808,2.409,1.407,2.906,3.298,Smartmeter
10 sep. 2022,1.804,2.409,1.398,2.906,3.298,Smartmeter
9 sep. 2022,1.802,2.403,1.398,2.904,3.298,Smartmeter
8 sep. 2022,1.801,2.401,1.398,2.900,3.298,Smartmeter
7 sep. 2022,1.800,2.399,1.398,2.889,3.298,Smartmeter
6 sep. 2022,1.799,2.397,1.398,2.877,3.298,Smartmeter
5 sep. 2022,1.798,2.394,1.398,2.865,3.297,Smartmeter
4 sep. 2022,1.795,2.394,1.385,2.865,3.297,Smartmeter
3 sep. 2022,1.792,2.394,1.370,2.865,3.297,Smartmeter
2 sep. 2022,1.791,2.391,1.370,2.852,3.297,Smartmeter
1 sep. 2022,1.790,2.389,1.370,2.835,3.297,Smartmeter
31 aug. 2022,1.789,2.388,1.370,2.818,3.296,Smartmeter
30 aug. 2022,1.788,2.386,1.370,2.800,3.296,Smartmeter
29 aug. 2022,1.787,2.382,1.370,2.792,3.296,Smartmeter
28 aug. 2022,1.785,2.382,1.357,2.792,3.296,Smartmeter
27 aug. 2022,1.783,2.382,1.348,2.792,3.296,Smartmeter
26 aug. 2022,1.782,2.381,1.348,2.790,3.296,Smartmeter
25 aug. 2022,1.781,2.379,1.348,2.774,3.295,Smartmeter
24 aug. 2022,1.780,2.378,1.348,2.759,3.295,Smartmeter
23 aug. 2022,1.779,2.377,1.348,2.745,3.295,Smartmeter
22 aug. 2022,1.778,2.374,1.348,2.729,3.295,Smartmeter
21 aug. 2022,1.774,2.374,1.335,2.729,3.295,Smartmeter
20 aug. 2022,1.769,2.374,1.319,2.729,3.294,Smartmeter
19 aug. 2022,1.768,2.371,1.319,2.719,3.294,Smartmeter
18 aug. 2022,1.767,2.367,1.319,2.711,3.293,Smartmeter
17 aug. 2022,1.766,2.363,1.319,2.709,3.293,Smartmeter
16 aug. 2022,1.765,2.361,1.319,2.698,3.293,Smartmeter
15 aug. 2022,1.763,2.356,1.319,2.686,3.293,Smartmeter
14 aug. 2022,1.761,2.356,1.302,2.686,3.293,Smartmeter
13 aug. 2022,1.758,2.356,1.282,2.686,3.292,Smartmeter
12 aug. 2022,1.757,2.356,1.282,2.666,3.292,Smartmeter
11 aug. 2022,1.756,2.356,1.282,2.646,3.292,Smartmeter
10 aug. 2022,1.756,2.355,1.282,2.625,3.292,Smartmeter
9 aug. 2022,1.755,2.355,1.282,2.605,3.292,Smartmeter
8 aug. 2022,1.754,2.355,1.282,2.596,3.292,Smartmeter
7 aug. 2022,1.753,2.355,1.262,2.596,3.292,Smartmeter
6 aug. 2022,1.752,2.355,1.242,2.596,3.292,Smartmeter
5 aug. 2022,1.752,2.354,1.242,2.580,3.291,Smartmeter
4 aug. 2022,1.751,2.354,1.242,2.564,3.291,Smartmeter
3 aug. 2022,1.750,2.352,1.242,2.548,3.290,Smartmeter
2 aug. 2022,1.750,2.352,1.242,2.533,3.290,Smartmeter
1 aug. 2022,1.749,2.351,1.242,2.515,3.290,Smartmeter
31 jul. 2022,1.744,2.351,1.240,2.515,3.289,Smartmeter
30 jul. 2022,1.740,2.351,1.224,2.515,3.289,Smartmeter
29 jul. 2022,1.738,2.351,1.224,2.504,3.288,Smartmeter
28 jul. 2022,1.737,2.347,1.224,2.491,3.288,Smartmeter
27 jul. 2022,1.736,2.346,1.224,2.476,3.288,Smartmeter
26 jul. 2022,1.735,2.344,1.224,2.465,3.287,Smartmeter
25 jul. 2022,1.733,2.341,1.224,2.456,3.286,Smartmeter
24 jul. 2022,1.732,2.341,1.205,2.456,3.286,Smartmeter
23 jul. 2022,1.728,2.341,1.187,2.456,3.285,Smartmeter
22 jul. 2022,1.726,2.339,1.187,2.451,3.285,Smartmeter
21 jul. 2022,1.725,2.336,1.187,2.449,3.284,Smartmeter
20 jul. 2022,1.724,2.334,1.187,2.430,3.284,Smartmeter
19 jul. 2022,1.722,2.333,1.187,2.411,3.284,Smartmeter
18 jul. 2022,1.721,2.330,1.187,2.395,3.283,Smartmeter
17 jul. 2022,1.719,2.330,1.168,2.395,3.282,Smartmeter
16 jul. 2022,1.716,2.330,1.150,2.395,3.282,Smartmeter
15 jul. 2022,1.715,2.328,1.150,2.379,3.282,Smartmeter
14 jul. 2022,1.714,2.326,1.150,2.365,3.281,Smartmeter
13 jul. 2022,1.713,2.324,1.150,2.346,3.281,Smartmeter
12 jul. 2022,1.712,2.323,1.149,2.328,3.281,Smartmeter
11 jul. 2022,1.711,2.321,1.149,2.319,3.280,Smartmeter
10 jul. 2022,1.708,2.321,1.142,2.319,3.280,Smartmeter
9 jul. 2022,1.705,2.321,1.129,2.319,3.279,Smartmeter
8 jul. 2022,1.704,2.320,1.129,2.305,3.279,Smartmeter
7 jul. 2022,1.703,2.318,1.129,2.295,3.278,Smartmeter
6 jul. 2022,1.702,2.316,1.129,2.281,3.278,Smartmeter
5 jul. 2022,1.701,2.315,1.129,2.265,3.278,Smartmeter
4 jul. 2022,1.700,2.314,1.129,2.246,3.277,Smartmeter
3 jul. 2022,1.696,2.314,1.114,2.246,3.276,Smartmeter
2 jul. 2022,1.693,2.314,1.094,2.246,3.276,Smartmeter
1 jul. 2022,1.692,2.312,1.094,2.234,3.276,Smartmeter
30 jun. 2022,1.691,2.309,1.094,2.215,3.275,Smartmeter
29 jun. 2022,1.690,2.308,1.093,2.194,3.275,Smartmeter
28 jun. 2022,1.689,2.307,1.093,2.174,3.275,Smartmeter
27 jun. 2022,1.688,2.304,1.093,2.170,3.274,Smartmeter
26 jun. 2022,1.686,2.304,1.079,2.170,3.273,Smartmeter
25 jun. 2022,1.684,2.304,1.066,2.170,3.273,Smartmeter
24 jun. 2022,1.683,2.300,1.066,2.164,3.272,Smartmeter
